المادة الفعالة (Active Substance),رقم CAS,الحالة,اللون الإرشادي,التفصيل والقرار
1-Naphthylacetamide (1-NAD),86-86-2,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
1-Naphthylacetic acid (1-NAA),86-87-3,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
1-methylcyclopropene,3100-04-7,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
"2,4-D",94-75-7,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
"2,4-DB",94-82-6,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
"2,5-Dichlorobenzoic acid methylester",2905-69-3,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
2-Phenylphenol (incl. sodium salt orthophenyl phenol),90-43-7,يتطلب تقييم مخاطر محلياً,Orange,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق وتقييم مخاطر محلياً (قرار 500 لسنة 2026م).
24-Epibrassinolide,78821-43-9,يتطلب تقييم مخاطر محلياً,Orange,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق وتقييم مخاطر محلياً (قرار 500 لسنة 2026م).
6-Benzyladenine,1214-39-7,يتطلب مراجعة علمية مسبقة,Yellow,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق ومراجعة علمية قبل الاستيراد (قرار 500 لسنة 2026م).
ABE-IT 56,No CAS allocated,يتطلب تقييم مخاطر محلياً,Orange,قرار رقم 500 لسنة 2026م. مسموح مؤقتاً بشرط توفر إذن استيراد مسبق وتقييم مخاطر محلياً (قرار 500 لسنة 2026م).
Abamectin (aka avermectin),71751-41-2,مسموح ومسجل (مؤقتاً),Green,قرار رقم 500 لسنة 2026م. يسمح بتداوله واستيراده بموجب قرار وزارة الزراعة رقم 500 لسنة 2026م.
Acequinocyl,57960-19-7,مسموح ومسجل (مؤقتاً),Green,قرار رقم 500 لسنة 2026م. يسمح بتداوله واستيراده بموجب قرار وزارة الزراعة رقم 500 لسنة 2026م.
Acetamiprid,135410-20-7,مسموح ومسجل (مؤقتاً),Green,قرار رقم 500 لسنة 2026م. يسمح بتداوله واستيراده بموجب قرار وزارة الزراعة رقم 500 لسنة 2026م.
